epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.59513,1.47076,2.27783,1.32088,0.87601,0.13904,0.24972,0.16782,1.36837,2.31573,1.06976,0.00052,0.00052,0.00052
2,5.59019,1.2567,1.32756,1.18062,0.75909,0.20222,0.38513,0.22561,1.43104,2.00172,1.08545,0.00103901,0.00103901,0.00103901
3,7.39869,1.25934,1.1757,1.13736,0.54044,0.2139,0.2543,0.15674,1.44124,1.82569,1.13488,0.00153664,0.00153664,0.00153664
4,9.21449,1.33141,1.17506,1.23823,0.46552,0.26203,0.33055,0.19274,1.46129,1.74942,1.1996,0.0018812,0.0018812,0.0018812
5,11.0351,1.27186,1.14653,1.19382,0.49936,0.42781,0.44271,0.25986,1.36825,1.78211,1.14387,0.0018416,0.0018416,0.0018416
6,12.8765,1.19765,1.10408,1.19583,0.6442,0.59062,0.59809,0.34391,1.27601,1.19188,1.09784,0.001802,0.001802,0.001802
7,14.7084,1.20618,1.01974,1.15532,0.68233,0.52836,0.61887,0.3773,1.21823,1.00365,1.0865,0.0017624,0.0017624,0.0017624
8,16.6226,1.1539,0.97054,1.1318,0.73008,0.67981,0.72184,0.40977,1.26065,0.9251,1.10973,0.0017228,0.0017228,0.0017228
9,18.4367,1.13951,1.02478,1.13494,0.77294,0.52791,0.58796,0.32225,1.35025,1.15454,1.18646,0.0016832,0.0016832,0.0016832
10,20.2037,1.20893,0.93909,1.12022,0.74273,0.69472,0.7095,0.36577,1.42103,0.99389,1.19145,0.0016436,0.0016436,0.0016436
11,21.9592,1.19265,1.00879,1.1863,0.66033,0.57219,0.59574,0.35375,1.22336,0.94488,1.08934,0.001604,0.001604,0.001604
12,23.7623,1.12166,0.91973,1.13002,0.79479,0.74564,0.77674,0.41359,1.25338,0.93813,1.07825,0.0015644,0.0015644,0.0015644
13,25.5827,1.12905,0.88295,1.09872,0.8052,0.69519,0.7592,0.40766,1.2972,0.83793,1.05687,0.0015248,0.0015248,0.0015248
14,27.3254,1.07175,0.85418,1.07923,0.77206,0.71123,0.77131,0.4362,1.18528,0.76306,1.03216,0.0014852,0.0014852,0.0014852
15,29.1288,1.05725,0.82778,1.07503,0.79861,0.6738,0.7447,0.42297,1.17327,0.74864,1.0159,0.0014456,0.0014456,0.0014456
16,30.8642,1.09783,0.86245,1.11489,0.85624,0.65241,0.73934,0.44384,1.12562,0.73474,1.02301,0.001406,0.001406,0.001406
17,32.7107,1.04075,0.82744,1.09382,0.82584,0.71001,0.78784,0.45816,1.15803,0.74529,1.03597,0.0013664,0.0013664,0.0013664
18,34.485,1.05958,0.81351,1.08871,0.87832,0.73342,0.81714,0.48603,1.08386,0.68478,0.99092,0.0013268,0.0013268,0.0013268
19,36.2636,1.03682,0.81273,1.10237,0.8316,0.73941,0.8119,0.43562,1.21345,0.7052,1.05239,0.0012872,0.0012872,0.0012872
20,37.9971,0.97787,0.7803,1.06509,0.86514,0.72039,0.80828,0.47085,1.13775,0.65793,1.01726,0.0012476,0.0012476,0.0012476
21,39.775,0.99514,0.77865,1.07308,0.81767,0.76744,0.81343,0.45998,1.2177,0.66854,1.03667,0.001208,0.001208,0.001208
22,41.6852,1.00634,0.76267,1.05964,0.82379,0.79679,0.83818,0.49494,1.0615,0.67981,0.98474,0.0011684,0.0011684,0.0011684
23,43.5017,1.00062,0.75188,1.05077,0.82952,0.75458,0.80221,0.51103,1.06184,0.63804,0.9914,0.0011288,0.0011288,0.0011288
24,45.2489,1.00037,0.756,1.06403,0.84547,0.76073,0.8039,0.47227,1.09391,0.64292,0.99627,0.0010892,0.0010892,0.0010892
25,47.0628,1.00675,0.77834,1.09512,0.8505,0.69972,0.80622,0.50563,1.06709,0.65063,0.9855,0.0010496,0.0010496,0.0010496
26,48.8173,0.96163,0.72963,1.06145,0.839,0.7524,0.82924,0.51107,1.0332,0.64231,0.97888,0.00101,0.00101,0.00101
27,50.5905,0.97974,0.71184,1.05856,0.80506,0.75936,0.81175,0.47823,1.12532,0.64271,1.00863,0.0009704,0.0009704,0.0009704
28,52.3945,0.93697,0.69436,1.03456,0.80506,0.73797,0.80942,0.50359,1.02517,0.60392,0.97806,0.0009308,0.0009308,0.0009308
29,54.1212,0.9188,0.70261,1.05082,0.86152,0.74866,0.84795,0.50152,1.05552,0.59219,0.99171,0.0008912,0.0008912,0.0008912
30,55.8613,0.92517,0.70541,1.04377,0.89041,0.73262,0.83527,0.5168,1.00072,0.59774,0.96624,0.0008516,0.0008516,0.0008516
31,57.6699,0.89818,0.68634,1.02844,0.86523,0.7553,0.8434,0.49923,1.05736,0.61895,0.98714,0.000812,0.000812,0.000812
32,59.4029,0.91789,0.67191,1.03881,0.83603,0.77005,0.82641,0.51531,0.97431,0.58129,0.96314,0.0007724,0.0007724,0.0007724
33,61.2255,0.88004,0.69979,1.02535,0.81424,0.79695,0.84584,0.50309,1.06453,0.59643,0.98585,0.0007328,0.0007328,0.0007328
34,63.1549,0.86279,0.64316,1.00448,0.89815,0.80164,0.86358,0.52361,0.97511,0.56123,0.95184,0.0006932,0.0006932,0.0006932
35,64.955,0.88713,0.64376,1.02059,0.9027,0.7754,0.86183,0.52955,0.96799,0.54492,0.95616,0.0006536,0.0006536,0.0006536
36,66.744,0.91287,0.6564,1.01867,0.91056,0.75936,0.85587,0.5277,1.00336,0.5582,0.96657,0.000614,0.000614,0.000614
